,average,ndays,1 year ago,10 years ago,increase since 1800
2017-03-18,406.82,,,,
2017-03-19,407.02,6.0,405.72,385.45,125.34
2017-03-25,408.53,,,,
2017-03-26,408.6,7.0,405.78,386.11,126.61
2017-04-01,407.93,,,,
2017-04-02,407.84,6.0,406.41,386.04,125.51
2017-04-08,408.82,,,,
2017-04-09,409.03,6.0,409.03,385.97,126.36
2017-04-15,409.77,,,,
2017-04-16,409.84,6.0,407.69,387.7,126.84
2017-04-22,410.18,,,,
2017-04-23,410.16,6.0,407.76,387.08,126.87
2017-04-29,409.28,,,,
2017-04-30,409.39,5.0,407.88,386.67,125.89
2017-05-06,409.68,,,,
2017-05-07,409.52,7.0,407.98,386.69,125.9
2017-05-13,410.37,,,,
2017-05-14,410.6,5.0,407.58,386.53,126.98
2017-05-20,410.23,,,,
2017-05-21,410.2,7.0,408.36,387.02,126.7
2017-05-27,409.79,,,,
2017-05-28,409.77,7.0,407.75,387.15,126.48
2017-06-03,409.96,,,,
2017-06-04,409.89,7.0,406.95,387.04,126.91
2017-06-10,409.74,,,,
2017-06-11,409.63,4.0,407.46,386.59,127.04
2017-06-17,408.57,,,,
2017-06-18,408.51,6.0,407.01,385.84,126.36
2017-06-24,408.11,,,,
2017-06-25,407.95,7.0,406.15,385.39,126.29
2017-07-01,408.14,,,,
2017-07-02,408.28,5.0,405.83,385.49,127.12
2017-07-08,407.24,,,,
2017-07-09,407.26,7.0,404.71,385.3,126.63
2017-07-15,407.12,,,,
2017-07-16,407.01,7.0,403.86,384.22,126.91
2017-07-22,406.98,,,,
2017-07-23,406.93,6.0,403.83,384.04,127.36
2017-07-29,406.69,,,,
2017-07-30,406.66,6.0,403.75,382.92,127.64
2017-08-05,405.75,,,,
2017-08-06,405.73,7.0,403.28,382.68,127.24
2017-08-12,405.59,,,,
2017-08-13,405.39,6.0,402.1,382.04,127.42
2017-08-19,404.73,,,,
2017-08-20,404.74,7.0,402.18,382.35,127.25
2017-08-26,404.47,,,,
2017-08-27,404.39,7.0,401.23,381.76,127.33
2017-09-02,404.11,,,,
2017-09-03,403.89,6.0,401.2,381.66,127.19
2017-09-09,403.77,,,,
2017-09-10,403.87,7.0,401.34,380.82,127.46
2017-09-16,403.36,,,,
2017-09-17,403.25,5.0,401.28,381.05,127.01
2017-09-23,402.99,,,,
2017-09-24,402.95,6.0,400.92,380.98,126.77
2017-09-30,403.1,,,,
2017-10-01,403.14,6.0,401.05,381.09,126.93
2017-10-07,403.58,,,,
2017-10-08,403.61,7.0,401.69,381.11,127.26
2017-10-14,404.0,,,,
2017-10-15,404.14,6.0,401.86,381.35,127.56
2017-10-21,404.23,,,,
2017-10-22,404.19,6.0,402.11,381.69,127.32
2017-10-28,404.27,,,,
2017-10-29,404.34,6.0,403.04,382.0,127.13
2017-11-04,404.45,,,,
2017-11-05,404.44,7.0,403.11,382.29,126.87
2017-11-11,405.09,,,,
2017-11-12,405.26,7.0,403.44,382.64,127.33
2017-11-18,406.23,,,,
2017-11-19,406.31,5.0,404.03,383.24,128.02
2017-11-25,406.45,,,,
2017-11-26,406.52,5.0,404.95,383.11,127.89
2017-12-02,407.02,,,,
2017-12-03,406.94,7.0,404.13,383.9,127.99
2017-12-09,406.5,,,,
2017-12-10,406.74,7.0,404.83,383.96,127.49
2017-12-16,407.08,,,,
2017-12-17,406.99,7.0,404.74,384.52,127.47
2017-12-23,407.37,,,,
2017-12-24,407.41,7.0,404.88,384.36,127.64
2017-12-30,407.58,,,,
2017-12-31,407.57,7.0,405.99,385.01,127.58
2018-01-06,408.04,,,,
2018-01-07,408.33,6.0,406.26,384.69,128.12
2018-01-13,408.2,,,,
2018-01-14,408.08,7.0,406.31,386.21,127.68
2018-01-20,408.51,,,,
2018-01-21,408.47,6.0,406.97,386.48,127.9
2018-01-27,408.15,,,,
2018-01-28,408.07,7.0,406.25,386.84,127.37
2018-02-03,408.01,,,,
2018-02-04,408.4,7.0,406.33,386.28,127.59
2018-02-10,408.75,,,,
2018-02-11,408.56,7.0,406.16,386.17,127.67
2018-02-17,408.65,,,,
2018-02-18,408.65,7.0,406.99,385.44,127.66
2018-02-24,408.97,,,,
2018-02-25,409.09,7.0,407.58,385.55,127.99
2018-03-03,409.98,,,,
2018-03-04,410.03,7.0,406.79,386.18,128.8
2018-03-10,409.12,,,,
2018-03-11,408.91,6.0,407.77,385.9,127.5
2018-03-17,409.25,,,,
2018-03-18,409.32,7.0,406.82,386.17,127.68
2018-03-24,410.1,,,,
2018-03-25,410.22,6.0,408.53,387.0,128.3
2018-03-31,409.35,,,,
2018-04-01,409.39,7.0,407.93,388.61,127.16
2018-04-07,409.65,,,,
2018-04-08,409.65,4.0,408.82,386.87,127.08
2018-04-14,411.19,,,,
2018-04-15,411.25,2.0,409.77,386.8,128.36
2018-04-21,411.91,,,,
2018-04-22,411.88,6.0,410.18,387.7,128.7
2018-04-28,410.07,,,,
2018-04-29,409.86,5.0,409.28,387.44,126.46
2018-05-05,410.97,,,,
2018-05-06,411.25,4.0,409.68,389.01,127.72
2018-05-12,412.06,,,,
2018-05-13,412.07,7.0,410.37,389.12,128.5
2018-05-19,411.65,,,,
2018-05-20,411.65,5.0,410.23,389.07,128.17
2018-05-26,411.78,,,,
2018-05-27,411.61,7.0,409.79,388.87,128.32
2018-06-02,411.08,,,,
2018-06-03,411.14,7.0,409.96,388.63,128.13
2018-06-09,411.41,,,,
2018-06-10,411.36,7.0,409.74,387.81,128.72
2018-06-16,410.57,,,,
2018-06-17,410.56,6.0,408.57,387.94,128.34
2018-06-23,410.92,,,,
2018-06-24,410.76,7.0,408.11,387.52,129.02
2018-06-30,409.77,,,,
2018-07-01,409.6,5.0,408.14,,128.37
2018-07-07,409.27,,,,
2018-07-08,409.35,6.0,407.24,,128.64
2018-07-14,408.77,,,,
2018-07-15,408.74,7.0,407.12,,128.57
2018-07-21,408.55,,,,
2018-07-22,408.48,7.0,406.98,386.2,128.85
2018-07-28,407.75,,,,
2018-07-29,407.65,6.0,406.69,385.3,128.57
2018-08-04,407.53,,,,
2018-08-05,407.42,7.0,405.75,385.32,128.87
2018-08-11,407.26,,,,
2018-08-12,407.26,7.0,405.59,384.14,129.23
2018-08-18,407.09,,,,
2018-08-19,407.03,7.0,404.73,383.79,129.49
2018-08-25,406.49,,,,
2018-08-26,406.3,7.0,404.47,383.51,129.2
2018-09-01,405.71,,,,
2018-09-02,405.68,7.0,404.11,383.72,128.94
2018-09-08,405.5,,,,
2018-09-09,405.58,7.0,403.77,383.28,129.12
2018-09-15,405.86,,,,
2018-09-16,405.88,7.0,403.36,383.54,129.6
2018-09-22,405.83,,,,
2018-09-23,405.73,6.0,402.99,383.24,129.53
2018-09-29,405.68,,,,
2018-09-30,405.69,7.0,403.1,382.99,129.45
2018-10-06,405.69,,,,
2018-10-07,405.77,7.0,403.58,383.01,129.4
2018-10-13,406.19,,,,
2018-10-14,406.2,6.0,404.0,383.15,129.61
2018-10-20,406.8,,,,
2018-10-21,406.81,7.0,404.23,383.26,129.93
2018-10-27,406.63,,,,
2018-10-28,406.67,6.0,404.27,384.18,129.47
2018-11-03,407.18,,,,
2018-11-04,407.18,5.0,404.45,384.02,129.64
2018-11-10,409.12,,,,
2018-11-11,408.94,5.0,405.09,384.37,131.05
2018-11-17,408.71,,,,
2018-11-18,408.78,6.0,406.23,384.64,130.54
2018-11-24,408.62,,,,
2018-11-25,408.58,7.0,406.45,384.7,130.01
2018-12-01,408.66,,,,
2018-12-02,408.69,6.0,407.02,385.33,129.81
2018-12-08,409.42,,,,
2018-12-09,409.6,7.0,406.5,385.61,130.43
2018-12-15,409.52,,,,
2018-12-16,409.51,7.0,407.08,385.78,130.06
2018-12-22,409.44,,,,
2018-12-23,409.33,7.0,407.37,386.2,129.62
2018-12-29,409.75,,,,
2018-12-30,409.8,7.0,407.58,386.48,129.86
2019-01-05,410.13,,,,
2019-01-06,410.86,6.0,408.04,386.64,130.69
2019-01-12,410.88,,,,
2019-01-13,410.55,4.0,408.2,387.36,130.16
2019-01-19,412.4,,,,
2019-01-20,412.19,6.0,408.51,387.39,131.61
2019-01-26,411.26,,,,
2019-01-27,411.23,7.0,408.15,387.81,130.48
2019-02-02,411.31,,,,
2019-02-03,411.83,7.0,408.01,387.21,130.96
2019-02-09,412.92,,,,
2019-02-10,412.63,6.0,408.75,387.39,131.65
2019-02-16,411.44,,,,
2019-02-17,411.19,7.0,408.65,387.83,130.13
2019-02-23,412.46,,,,
2019-02-24,412.62,7.0,408.97,388.64,131.48
2019-03-01,412.13,,,,
2019-03-03,412.37,7.0,409.98,389.19,131.14
2019-03-08,412.79,,,,
2019-03-10,412.37,7.0,409.12,388.93,131.02
2019-03-15,411.97,,,,
2019-03-17,412.02,7.0,409.25,388.5,130.5
2019-03-22,411.46,,,,
2019-03-24,411.53,4.0,410.1,389.53,129.78
2019-03-29,412.59,,,,
2019-03-31,412.4,6.0,409.35,389.34,130.38
2019-04-05,412.88,,,,
2019-04-07,413.35,6.0,409.65,389.72,131.02
2019-04-12,413.85,,,,
2019-04-14,413.82,7.0,411.19,388.88,131.17
2019-04-19,413.93,,,,
2019-04-21,413.99,6.0,411.91,390.16,131.03
2019-04-26,414.68,,,,
2019-04-28,414.52,6.0,410.07,390.58,131.3
2019-05-03,414.32,,,,
2019-05-05,414.54,7.0,410.97,390.0,131.13
2019-05-10,415.53,,,,
2019-05-12,415.62,6.0,412.06,390.34,132.13
2019-05-17,414.95,,,,
2019-05-19,414.97,6.0,411.65,390.75,131.5
2019-05-24,414.62,,,,
2019-05-26,414.52,7.0,411.78,390.38,131.19
2019-05-31,414.49,,,,
2019-06-02,414.6,6.0,411.08,390.28,131.52
2019-06-07,414.61,,,,
2019-06-09,414.3,6.0,411.41,390.39,131.56
2019-06-14,413.99,,,,
2019-06-16,414.08,7.0,410.57,389.42,131.76
2019-06-21,413.72,,,,
2019-06-23,413.63,6.0,410.92,388.77,131.79
2019-06-28,413.61,,,,
2019-06-30,413.64,7.0,409.77,388.85,132.31
2019-07-05,412.34,,,,
2019-07-07,412.3,7.0,409.27,388.7,131.5
2019-07-12,412.62,,,,
2019-07-14,412.37,3.0,408.77,388.42,132.1
2019-07-19,411.54,,,,
2019-07-21,411.07,5.0,408.55,387.88,131.33
2019-07-26,410.19,,,,
2019-07-28,410.28,7.0,407.75,387.49,131.08
2019-08-02,410.57,,,,
2019-08-04,410.56,7.0,407.53,387.29,131.88
2019-08-09,410.52,,,,
2019-08-11,410.48,7.0,407.26,386.16,132.31
2019-08-16,409.96,,,,
2019-08-18,409.79,6.0,407.09,385.93,132.09
2019-08-23,409.64,,,,
2019-08-25,409.66,6.0,406.49,385.79,132.4
2019-08-30,409.04,,,,
2019-09-01,409.03,7.0,405.71,385.32,132.15
2019-09-06,408.97,,,,
2019-09-08,408.81,7.0,405.5,384.89,132.23
2019-09-13,408.7,,,,
2019-09-15,408.72,6.0,405.86,384.8,132.34
2019-09-20,408.56,,,,
2019-09-22,408.54,7.0,405.83,384.96,132.26
2019-09-27,408.19,,,,
2019-09-29,408.18,7.0,405.68,384.05,131.9
2019-10-04,408.54,,,,
2019-10-06,408.6,7.0,405.69,384.26,132.21
2019-10-11,408.79,,,,
2019-10-13,408.84,7.0,406.19,384.65,132.26
2019-10-18,408.94,,,,
2019-10-20,408.94,5.0,406.8,384.95,132.1
2019-10-25,409.43,,,,
2019-10-27,409.51,6.0,406.63,385.27,132.35
2019-11-01,410.08,,,,
2019-11-03,410.12,6.0,407.18,385.63,132.62
2019-11-08,410.43,,,,
2019-11-10,410.41,6.0,409.12,385.97,132.57
2019-11-15,410.38,,,,
2019-11-17,410.4,6.0,408.71,386.57,132.22
2019-11-22,410.85,,,,
2019-11-24,410.93,7.0,408.62,386.72,132.43
2019-11-29,411.18,,,,
2019-12-01,411.28,7.0,408.66,387.29,132.46
2019-12-06,411.49,,,,
2019-12-08,411.53,7.0,409.42,387.11,132.43
2019-12-13,411.95,,,,
2019-12-15,412.1,7.0,409.52,,132.72
2019-12-20,412.51,,,,
2019-12-22,412.42,7.0,409.44,388.38,132.78
2019-12-27,413.01,,,,
2019-12-29,413.19,6.0,409.75,388.87,133.26
2020-01-03,413.59,,,,
2020-01-05,413.58,7.0,410.13,388.41,133.42
2020-01-10,412.96,,,,
2020-01-12,413.0,6.0,410.88,388.61,132.63
2020-01-17,413.99,,,,
2020-01-19,413.85,7.0,412.4,388.47,133.3
2020-01-24,413.94,,,,
2020-01-26,414.24,7.0,411.26,389.58,133.54
2020-01-31,414.47,,,,
2020-02-02,414.51,7.0,411.31,390.87,133.69
2020-02-07,414.9,,,,
2020-02-09,414.62,6.0,412.92,390.53,133.71
2020-02-14,414.11,,,,
2020-02-16,414.27,7.0,411.44,390.65,133.29
2020-02-21,413.93,,,,
2020-02-23,413.92,7.0,412.46,388.96,132.87
2020-02-28,414.04,,,,
2020-03-01,414.07,7.0,412.13,391.58,132.94
2020-03-07,414.31,,,,
2020-03-08,414.32,6.0,412.79,391.47,133.08
2020-03-14,414.5,,,,
2020-03-15,414.5,6.0,411.97,391.43,133.11
2020-03-21,415.63,,,,
2020-03-22,415.75,4.0,411.46,390.97,134.15
2020-03-28,415.93,,,,
2020-03-29,415.95,6.0,412.59,391.67,134.1
2020-04-04,416.61,,,,
2020-04-05,416.65,7.0,412.88,391.32,134.51
2020-04-11,416.42,,,,
2020-04-12,416.48,7.0,413.85,393.07,134.02
2020-04-18,416.21,,,,
2020-04-19,416.09,6.0,413.93,393.48,133.32
2020-04-25,416.92,,,,
2020-04-26,417.02,7.0,414.68,393.39,133.97
2020-05-02,417.07,,,,
2020-05-03,417.04,6.0,414.32,393.17,133.77
2020-05-09,417.07,,,,
2020-05-10,417.0,6.0,415.53,392.9,133.61
2020-05-16,417.18,,,,
2020-05-17,417.18,5.0,414.95,393.67,133.76
2020-05-23,417.8,,,,
2020-05-24,417.64,7.0,414.62,392.85,134.31
2020-05-30,417.43,,,,
2020-05-31,417.41,6.0,414.49,393.49,134.29
2020-06-06,416.51,,,,
2020-06-07,416.55,5.0,414.61,392.94,133.73
2020-06-13,416.48,,,,
2020-06-14,416.42,7.0,413.99,392.04,133.99
2020-06-20,416.29,,,,
2020-06-21,416.27,7.0,413.72,391.65,134.29
2020-06-27,415.74,,,,
2020-06-28,415.64,7.0,413.61,391.35,134.16
2020-07-04,415.41,,,,
2020-07-05,415.45,7.0,412.34,390.61,134.48
2020-07-11,414.95,,,,
2020-07-12,414.73,7.0,412.62,390.03,134.3
2020-07-18,414.12,,,,
2020-07-19,414.08,6.0,411.54,390.42,134.18
2020-07-25,413.49,,,,
2020-07-26,413.42,7.0,410.19,389.96,134.05
2020-08-01,413.49,,,,
2020-08-02,413.37,4.0,410.57,388.91,134.51
2020-08-08,413.0,,,,
2020-08-09,412.95,6.0,410.52,389.07,134.59
2020-08-15,412.59,,,,
2020-08-16,412.59,5.0,409.96,388.58,134.7
2020-08-22,412.26,,,,
2020-08-23,412.17,7.0,409.64,387.66,134.71
2020-08-29,411.88,,,,
2020-08-30,411.79,7.0,409.04,387.77,134.72
2020-09-05,411.66,,,,
2020-09-06,411.58,7.0,408.97,386.44,134.81
2020-09-12,411.62,,,,
2020-09-13,411.67,7.0,408.7,387.19,135.15
2020-09-19,411.25,,,,
2020-09-20,411.2,6.0,408.56,387.0,134.81
2020-09-26,411.23,,,,
2020-09-27,411.27,7.0,408.19,386.96,134.92
2020-10-03,411.27,,,,
2020-10-04,411.26,7.0,408.54,387.17,134.85
2020-10-10,411.31,,,,
2020-10-11,411.32,7.0,408.79,387.05,134.76
2020-10-17,411.67,,,,
2020-10-18,411.72,6.0,408.94,387.73,134.93
2020-10-24,411.61,,,,
2020-10-25,411.69,7.0,409.43,388.02,134.6
2020-10-31,411.9,,,,
2020-11-01,411.96,6.0,410.08,388.22,134.55
2020-11-07,412.94,,,,
2020-11-08,412.98,7.0,410.43,388.37,135.22
2020-11-14,412.78,,,,
2020-11-15,412.74,6.0,410.38,389.01,134.63
2020-11-21,413.52,,,,
2020-11-22,414.04,6.0,410.85,389.68,135.6
2020-11-28,414.35,,,,
2020-11-29,413.97,7.0,411.18,389.88,135.2
2020-12-05,413.48,,,,
2020-12-06,413.6,7.0,411.49,390.01,134.53
2020-12-12,413.97,,,,
2020-12-13,414.13,7.0,411.95,389.54,134.78
2020-12-19,414.84,,,,
2020-12-20,414.82,6.0,412.51,390.46,135.2
2020-12-26,415.3,,,,
2020-12-27,415.3,7.0,413.01,390.19,135.44
2021-01-02,415.41,,,,
2021-01-03,415.36,7.0,413.59,391.84,135.34
2021-01-09,415.03,,,,
2021-01-10,415.04,5.0,412.96,390.83,134.81
2021-01-16,415.23,,,,
2021-01-17,415.39,7.0,413.99,391.8,134.96
2021-01-23,416.01,,,,
2021-01-24,415.98,7.0,413.94,391.68,135.37
2021-01-30,416.86,,,,
2021-01-31,417.09,7.0,414.47,392.19,136.33
2021-02-06,417.01,,,,
2021-02-07,416.89,7.0,414.9,391.64,136.01
2021-02-13,416.56,,,,
2021-02-14,416.48,7.0,414.11,391.92,135.5
2021-02-20,416.27,,,,
2021-02-21,416.28,7.0,413.93,392.32,135.21
2021-02-27,417.65,,,,
2021-02-28,417.93,7.0,414.04,392.12,136.77
2021-03-06,417.17,,,,
2021-03-07,416.91,7.0,414.31,392.22,135.63
2021-03-13,417.48,,,,
2021-03-14,417.76,7.0,414.5,392.63,136.33
2021-03-20,417.78,,,,
2021-03-21,417.68,6.0,415.63,393.6,136.07
2021-03-27,417.36,,,,
2021-03-28,417.98,5.0,415.93,393.88,136.14
2021-04-03,419.58,,,,
2021-04-04,419.24,6.0,416.61,393.0,137.13
2021-04-10,418.98,,,,
2021-04-11,418.95,5.0,416.42,393.61,136.54
2021-04-17,418.11,,,,
2021-04-18,418.16,5.0,416.21,393.63,135.46
2021-04-24,419.64,,,,
2021-04-25,419.97,6.0,416.92,393.48,137.01
2021-05-01,419.77,,,,
2021-05-02,419.49,6.0,417.07,394.15,136.31
2021-05-08,418.31,,,,
2021-05-09,418.45,6.0,417.07,393.32,135.13
2021-05-15,419.31,,,,
2021-05-16,419.05,7.0,417.18,395.23,135.69
2021-05-22,418.72,,,,
2021-05-23,418.89,6.0,417.8,395.13,135.59
2021-05-29,419.49,,,,
2021-05-30,419.51,7.0,417.43,394.43,136.37
2021-06-05,419.6,,,,
2021-06-06,419.47,7.0,416.51,393.69,136.59
2021-06-12,418.97,,,,
2021-06-13,419.03,7.0,416.48,394.08,136.5
2021-06-19,418.68,,,,
2021-06-20,418.44,6.0,416.29,393.73,136.33
2021-06-26,418.1,,,,
2021-06-27,418.04,7.0,415.74,393.59,136.39
2021-07-03,417.45,,,,
2021-07-04,417.43,7.0,415.41,393.73,136.29
2021-07-10,417.22,,,,
2021-07-11,417.48,7.0,414.95,393.4,136.86
2021-07-17,417.1,,,,
2021-07-18,416.71,7.0,414.12,391.57,136.63
2021-07-24,415.6,,,,
2021-07-25,415.55,7.0,413.49,392.21,136.01
2021-07-31,415.06,,,,
2021-08-01,414.96,7.0,413.49,391.21,135.95
2021-08-07,414.58,,,,
2021-08-08,414.52,5.0,413.0,390.7,136.03
2021-08-14,414.89,,,,
2021-08-15,414.88,7.0,412.59,390.33,136.88
2021-08-21,414.36,,,,
2021-08-22,413.79,5.0,412.26,389.49,136.24
2021-08-28,412.79,,,,
2021-08-29,413.19,4.0,411.88,389.78,136.05
2021-09-04,413.38,,,,
2021-09-05,413.33,7.0,411.66,389.05,136.51
2021-09-11,413.04,,,,
2021-09-12,413.06,6.0,411.62,389.38,136.49
2021-09-18,413.29,,,,
2021-09-19,413.27,7.0,411.25,389.16,136.85
2021-09-25,413.28,,,,
2021-09-26,413.33,6.0,411.23,388.93,136.96
2021-10-02,413.49,,,,
2021-10-03,413.61,7.0,411.27,388.93,137.18
2021-10-09,413.81,,,,
2021-10-10,413.86,7.0,411.31,389.09,137.29
2021-10-16,414.35,,,,
2021-10-17,414.32,7.0,411.67,389.25,137.54
2021-10-23,413.94,,,,
2021-10-24,413.87,6.0,411.61,389.48,136.81
2021-10-30,414.06,,,,
2021-10-31,414.14,6.0,411.9,389.8,136.77
2021-11-06,414.89,,,,
2021-11-07,414.93,7.0,412.94,390.09,137.24
2021-11-13,414.76,,,,
2021-11-14,414.84,7.0,412.78,390.71,136.82
2021-11-20,415.29,,,,
2021-11-21,415.33,7.0,413.52,390.78,136.98
2021-11-27,415.99,,,,
2021-11-28,416.12,7.0,414.35,391.33,137.47
2021-12-04,415.98,,,,
2021-12-05,415.83,5.0,413.48,391.72,136.88
2021-12-11,416.31,,,,
2021-12-12,416.41,7.0,413.97,392.19,137.19
2021-12-18,417.28,,,,
2021-12-19,417.45,6.0,414.84,392.54,137.96
2021-12-25,417.38,,,,
2021-12-26,417.42,7.0,415.3,392.43,137.68
2022-01-01,417.47,,,,
2022-01-02,417.37,7.0,415.41,393.18,137.39
2022-01-08,418.03,,,,
2022-01-09,418.28,7.0,415.03,393.99,138.08
2022-01-15,417.76,,,,
2022-01-16,417.58,7.0,415.23,392.9,137.17
2022-01-22,418.86,,,,
2022-01-23,419.09,6.0,416.01,393.57,138.5
2022-01-29,419.22,,,,
2022-01-30,419.15,7.0,416.86,393.28,138.41
2022-02-05,418.53,,,,
2022-02-06,418.34,6.0,417.01,393.99,137.48
2022-02-12,419.58,,,,
2022-02-13,419.74,7.0,416.56,394.02,138.77
2022-02-19,419.51,,,,
2022-02-20,419.57,7.0,416.27,394.3,138.52
2022-02-26,419.17,,,,
2022-02-27,419.16,7.0,417.65,394.54,138.01
2022-03-05,418.47,,,,
2022-03-06,418.47,7.0,417.17,393.54,137.21
2022-03-12,418.47,,,,
2022-03-13,418.3,6.0,417.48,394.63,136.9
2022-03-19,417.91,,,,
2022-03-20,418.13,7.0,417.78,395.06,136.55
2022-03-26,420.15,,,,
2022-03-27,420.32,7.0,417.36,395.3,138.51
2022-04-02,420.25,,,,
2022-04-03,420.15,6.0,419.58,395.58,138.08
2022-04-09,419.85,,,,
2022-04-10,420.11,6.0,418.98,396.76,137.75
2022-04-16,420.63,,,,
2022-04-17,420.33,7.0,418.11,396.38,137.68
2022-04-23,420.14,,,,
2022-04-24,420.14,7.0,419.64,396.82,137.21
2022-04-30,420.14,,,,
2022-05-01,420.13,7.0,419.77,397.15,136.98
2022-05-07,420.69,,,,
2022-05-08,421.07,7.0,418.31,397.38,137.77
2022-05-14,421.15,,,,
2022-05-15,420.92,7.0,419.31,397.06,137.56
2022-05-21,421.25,,,,
2022-05-22,421.44,7.0,418.72,396.4,138.13
2022-05-28,421.67,,,,
2022-05-29,421.58,7.0,419.49,396.42,138.41
2022-06-04,421.25,,,,
2022-06-05,421.26,6.0,419.6,395.92,138.34
2022-06-11,421.0,,,,
2022-06-12,420.98,6.0,418.97,396.07,138.4
2022-06-18,420.84,,,,
2022-06-19,420.82,7.0,418.68,395.92,138.65
2022-06-25,420.32,,,,
2022-06-26,420.26,7.0,418.1,395.36,138.55
2022-07-02,419.91,,,,
2022-07-03,419.69,6.0,417.45,395.15,138.47
2022-07-09,419.18,,,,
2022-07-10,419.03,6.0,417.22,394.59,138.34
2022-07-16,418.36,,,,
2022-07-17,418.38,6.0,417.1,394.64,138.23
2022-07-23,418.03,,,,
2022-07-24,417.8,6.0,415.6,394.11,138.18
2022-07-30,418.1,,,,
2022-07-31,418.15,7.0,415.06,393.55,139.06
2022-08-06,417.36,,,,
2022-08-07,417.29,6.0,414.58,393.42,138.72
2022-08-13,417.25,,,,
2022-08-14,417.22,6.0,414.89,392.57,139.15
2022-08-20,416.64,,,,
2022-08-21,416.52,6.0,414.36,391.49,138.91
2022-08-27,416.42,,,,
2022-08-28,416.5,5.0,412.79,392.02,139.3
2022-09-03,416.27,,,,
2022-09-04,416.29,7.0,413.38,391.85,139.43
2022-09-10,416.15,,,,
2022-09-11,416.0,6.0,413.04,391.1,139.4
2022-09-17,415.65,,,,
2022-09-18,415.52,7.0,413.29,391.02,139.08
2022-09-24,415.34,,,,
2022-09-25,415.53,7.0,413.28,391.07,139.15
2022-10-01,415.3,,,,
2022-10-02,415.22,7.0,413.49,391.06,138.81
2022-10-08,415.39,,,,
2022-10-09,415.46,7.0,413.81,391.09,138.92
2022-10-15,415.82,,,,
2022-10-16,415.84,7.0,414.35,391.2,139.1
2022-10-22,416.19,,,,
2022-10-23,416.26,7.0,413.94,391.58,139.25
2022-10-29,416.41,,,,
2022-10-30,416.39,5.0,414.06,391.81,139.07
2022-11-05,417.0,,,,
2022-11-06,417.14,5.0,414.89,392.71,139.49
2022-11-12,417.31,,,,
2022-11-13,417.25,7.0,414.76,393.55,139.28
2022-11-19,418.38,,,,
2022-11-20,418.48,7.0,415.29,393.31,140.18
2022-11-26,417.81,,,,
2022-11-27,417.69,2.0,415.99,394.14,139.07
2022-12-03,419.23,,,,
2022-12-04,419.01,3.0,415.98,393.88,140.11
2022-12-10,418.82,,,,
2022-12-11,418.8,7.0,416.31,394.66,139.62
2022-12-17,419.06,,,,
2022-12-18,419.19,7.0,417.28,394.91,139.74
2022-12-24,419.41,,,,
2022-12-25,419.43,7.0,417.38,394.85,139.73
2022-12-31,419.34,,,,
2023-01-01,419.29,7.0,417.47,394.96,139.35
2023-01-07,419.47,,,,
2023-01-08,419.57,7.0,418.03,395.57,139.39
2023-01-14,419.3,,,,
2023-01-15,419.17,7.0,417.76,396.52,138.79
2023-01-21,419.64,,,,
2023-01-22,419.74,7.0,418.86,395.72,139.17
2023-01-28,419.72,,,,
2023-01-29,419.82,7.0,419.22,396.2,139.1
2023-02-04,420.08,,,,
2023-02-05,420.2,7.0,418.53,396.84,139.35
2023-02-11,420.9,,,,
2023-02-12,420.81,7.0,419.58,397.32,139.86
2023-02-18,419.71,,,,
2023-02-19,419.58,4.0,419.51,397.35,138.54
2023-02-25,421.25,,,,
2023-02-26,421.55,4.0,419.17,397.28,140.42
2023-03-03,421.44,,,,
2023-03-05,421.21,7.0,418.47,397.49,139.97
2023-03-10,420.08,,,,
2023-03-12,420.21,7.0,418.47,397.16,138.83
2023-03-17,420.76,,,,
2023-03-19,420.78,7.0,417.91,397.8,139.22
2023-03-24,421.52,,,,
2023-03-26,421.68,7.0,420.15,398.2,139.91
2023-03-31,422.63,,,,
2023-04-02,422.75,6.0,420.25,398.19,140.71
2023-04-07,422.68,,,,
2023-04-09,422.96,6.0,419.85,397.93,140.63
2023-04-14,423.66,,,,
2023-04-16,423.5,6.0,420.63,399.5,140.88
2023-04-21,424.0,,,,
2023-04-23,424.08,7.0,420.14,399.32,141.19
2023-04-28,423.88,,,,
2023-04-30,423.98,7.0,420.14,399.74,140.86
2023-05-05,424.32,,,,
2023-05-07,424.29,7.0,420.69,399.74,141.0
2023-05-12,423.49,,,,
2023-05-14,423.39,7.0,421.15,400.14,140.03
2023-05-19,423.83,,,,
2023-05-21,423.94,7.0,421.25,400.25,140.61
2023-05-26,424.62,,,,
2023-05-28,424.65,7.0,421.67,399.94,141.45
2023-06-02,424.47,,,,
2023-06-04,424.38,7.0,421.25,399.37,141.42
2023-06-09,424.24,,,,
2023-06-11,424.14,6.0,421.0,398.78,141.5
2023-06-16,423.51,,,,
2023-06-18,423.49,7.0,420.84,398.39,141.26
2023-06-23,422.33,,,,
2023-06-25,422.18,7.0,420.32,398.78,140.4
2023-06-30,422.67,,,,
2023-07-02,422.62,4.0,419.91,398.34,141.34
2023-07-07,422.37,,,,
2023-07-09,422.35,5.0,419.18,397.93,141.58
2023-07-14,421.45,,,,
2023-07-16,421.34,5.0,418.36,396.93,141.1
2023-07-21,421.28,,,,
2023-07-23,421.28,4.0,418.03,397.3,141.58
2023-07-28,420.83,,,,
2023-07-30,420.83,6.0,418.1,396.8,141.67
